app,date,mb
SPOTIFY,Sep 2017,2.5
GOOGLE MUSIC,Sep 2016,28
GOOGLE MUSIC,Oct 2016,23
GOOGLE MUSIC,Nov 2016,26
GOOGLE MUSIC,Dec 2016,34
GOOGLE MUSIC,Jan 2017,18
GOOGLE MUSIC,Feb 2017,16
GOOGLE MUSIC,Mar 2017,29
GOOGLE MUSIC,Apr 2017,33
GOOGLE MUSIC,May 2017,10
GOOGLE MUSIC,Jun 2017,0
GOOGLE MUSIC,Jul 2017,0
GOOGLE MUSIC,Aug 2017,0
GOOGLE MUSIC,Sep 2017,0
GOOGLE DOCS,Sep 2016,0.287
GOOGLE DOCS,Oct 2016,0.3
GOOGLE DOCS,Nov 2016,0.45
GOOGLE DOCS,Dec 2016,0.59
GOOGLE DOCS,Jan 2017,0.23
GOOGLE DOCS,Feb 2017,0.48
GOOGLE DOCS,Mar 2017,0.37
GOOGLE DOCS,Apr 2017,0.28
GOOGLE DOCS,May 2017,0.18
GOOGLE DOCS,Jun 2017,0.17
GOOGLE DOCS,Jul 2017,0.06
GOOGLE DOCS,Aug 2017,0.12
GOOGLE DOCS,Sep 2017,0.186
MONOSPACE,Sep 2016,0
MONOSPACE,Oct 2016,0
MONOSPACE,Nov 2016,0
MONOSPACE,Dec 2016,0
MONOSPACE,Jan 2017,0
MONOSPACE,Feb 2017,0
MONOSPACE,Mar 2017,0
MONOSPACE,Apr 2017,0
MONOSPACE,May 2017,0
MONOSPACE,Jun 2017,0
MONOSPACE,Jul 2017,0
MONOSPACE,Aug 2017,0
MONOSPACE,Sep 2017,0.02
KEEP,Sep 2016,0
KEEP,Oct 2016,0
KEEP,Nov 2016,0
KEEP,Dec 2016,0
KEEP,Jan 2017,0
KEEP,Feb 2017,0
KEEP,Mar 2017,0
KEEP,Apr 2017,0
KEEP,May 2017,0
KEEP,Jun 2017,0.03
KEEP,Jul 2017,0.02
KEEP,Aug 2017,0.015
KEEP,Sep 2017,0.017
TO DO LIST,Sep 2016,0.03
TO DO LIST,Oct 2016,0.01
TO DO LIST,Nov 2016,0.02
TO DO LIST,Dec 2016,0.02
TO DO LIST,Jan 2017,0.01
TO DO LIST,Feb 2017,0.014
TO DO LIST,Mar 2017,0.013
TO DO LIST,Apr 2017,0.2
TO DO LIST,May 2017,0.03
TO DO LIST,Jun 2017,0.01
TO DO LIST,Jul 2017,0.012
TO DO LIST,Aug 2017,0.023
TO DO LIST,Sep 2017,0.01
WHATSAPP,Sep 2016,10
WHATSAPP,Oct 2016,9.67
WHATSAPP,Nov 2016,3.2
WHATSAPP,Dec 2016,8.3
WHATSAPP,Jan 2017,5
WHATSAPP,Feb 2017,12
WHATSAPP,Mar 2017,15.3
WHATSAPP,Apr 2017,32
WHATSAPP,May 2017,63
WHATSAPP,Jun 2017,89
WHATSAPP,Jul 2017,113
WHATSAPP,Aug 2017,82
WHATSAPP,Sep 2017,76
LINE,Sep 2016,80
LINE,Oct 2016,74
LINE,Nov 2016,56
LINE,Dec 2016,83
LINE,Jan 2017,92
LINE,Feb 2017,65
LINE,Mar 2017,44
LINE,Apr 2017,12
LINE,May 2017,8
LINE,Jun 2017,10.3
LINE,Jul 2017,14
LINE,Aug 2017,7
LINE,Sep 2017,2
FB MESSENGER,Sep 2016,102
FB MESSENGER,Oct 2016,124
FB MESSENGER,Nov 2016,116
FB MESSENGER,Dec 2016,90
FB MESSENGER,Jan 2017,134
FB MESSENGER,Feb 2017,140
FB MESSENGER,Mar 2017,87
FB MESSENGER,Apr 2017,108
FB MESSENGER,May 2017,94
FB MESSENGER,Jun 2017,87
FB MESSENGER,Jul 2017,104
FB MESSENGER,Aug 2017,92
FB MESSENGER,Sep 2017,133
SLACK,Sep 2016,68
SLACK,Oct 2016,54
SLACK,Nov 2016,102
SLACK,Dec 2016,83
SLACK,Jan 2017,79
SLACK,Feb 2017,43
SLACK,Mar 2017,39
SLACK,Apr 2017,42
SLACK,May 2017,10
SLACK,Jun 2017,8
SLACK,Jul 2017,20
SLACK,Aug 2017,18
SLACK,Sep 2017,63
DISCORD,Sep 2016,23
DISCORD,Oct 2016,8
DISCORD,Nov 2016,16
DISCORD,Dec 2016,14
DISCORD,Jan 2017,7
DISCORD,Feb 2017,54
DISCORD,Mar 2017,9
DISCORD,Apr 2017,12
DISCORD,May 2017,128
DISCORD,Jun 2017,22
DISCORD,Jul 2017,21
DISCORD,Aug 2017,4
DISCORD,Sep 2017,15
INSTAGRAM,Sep 2016,189
INSTAGRAM,Oct 2016,230
INSTAGRAM,Nov 2016,234
INSTAGRAM,Dec 2016,248
INSTAGRAM,Jan 2017,275
INSTAGRAM,Feb 2017,200
INSTAGRAM,Mar 2017,195
INSTAGRAM,Apr 2017,287
INSTAGRAM,May 2017,220
INSTAGRAM,Jun 2017,240
INSTAGRAM,Jul 2017,298
INSTAGRAM,Aug 2017,258
INSTAGRAM,Sep 2017,232
SNAPCHAT,Sep 2016,175
SNAPCHAT,Oct 2016,200
SNAPCHAT,Nov 2016,273
SNAPCHAT,Dec 2016,320
SNAPCHAT,Jan 2017,318
SNAPCHAT,Feb 2017,140
SNAPCHAT,Mar 2017,245
SNAPCHAT,Apr 2017,229
SNAPCHAT,May 2017,190
SNAPCHAT,Jun 2017,234
SNAPCHAT,Jul 2017,164
SNAPCHAT,Aug 2017,256
SNAPCHAT,Sep 2017,204
FACEBOOK,Sep 2016,80
FACEBOOK,Oct 2016,120
FACEBOOK,Nov 2016,92
FACEBOOK,Dec 2016,98
FACEBOOK,Jan 2017,123
FACEBOOK,Feb 2017,112
FACEBOOK,Mar 2017,90
FACEBOOK,Apr 2017,86
FACEBOOK,May 2017,116
FACEBOOK,Jun 2017,87
FACEBOOK,Jul 2017,101
FACEBOOK,Aug 2017,128
FACEBOOK,Sep 2017,94
OUTLOOK,Sep 2016,1.93
OUTLOOK,Oct 2016,2.93
OUTLOOK,Nov 2016,1.22
OUTLOOK,Dec 2016,1.43
OUTLOOK,Jan 2017,2.19
OUTLOOK,Feb 2017,2
OUTLOOK,Mar 2017,1.45
OUTLOOK,Apr 2017,1.5
OUTLOOK,May 2017,1
OUTLOOK,Jun 2017,1.56
OUTLOOK,Jul 2017,1.92
OUTLOOK,Aug 2017,2
OUTLOOK,Sep 2017,1.27
GMAIL,Sep 2016,2
GMAIL,Oct 2016,2.8
GMAIL,Nov 2016,1.98
GMAIL,Dec 2016,1.34
GMAIL,Jan 2017,1
GMAIL,Feb 2017,2.76
GMAIL,Mar 2017,1.6
GMAIL,Apr 2017,1.32
GMAIL,May 2017,1.84
GMAIL,Jun 2017,2.03
